unique_id,best_model,best_smape
Canada_Kagglazon_Using LLMs to Train More LLMs,Prophet_plain,0.03342048767742702
Japan_Kaggle Store_Using LLMs to Train More LLMs,Prophet_tuned,0.03207407349954299
Japan_Kaggle Learn_Using LLMs to Train More LLMs,Prophet_tuned,0.030613747628782204
Japan_Kagglazon_Using LLMs to Train More LLMs,AutoETS,0.029887111381837538
Canada_Kaggle Learn_Using LLMs to Improve Your Coding,Prophet_tuned,0.02966154037399106
Japan_Kaggle Learn_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.029607657603064465
Canada_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.029098633010297005
Canada_Kagglazon_Using LLMs to Win Friends and Influence People,Prophet_plain,0.028969411428713256
Canada_Kaggle Learn_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.02879475442729286
Japan_Kaggle Learn_Using LLMs to Improve Your Coding,Prophet_plain,0.028576112270398153
Japan_Kagglazon_Using LLMs to Win Friends and Influence People,AutoETS,0.0285300616061814
Japan_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.02849499014244235
Canada_Kaggle Learn_Using LLMs to Train More LLMs,Prophet_tuned,0.028487495226308727
Canada_Kagglazon_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.028171929565811892
Japan_Kaggle Store_Using LLMs to Win Friends and Influence People,Prophet_plain,0.028116189203396442
Canada_Kaggle Store_Using LLMs to Train More LLMs,Prophet_tuned,0.028067985165778162
Japan_Kaggle Store_Using LLMs to Improve Your Coding,Prophet_tuned,0.02795080733586833
Canada_Kaggle Store_Using LLMs to Improve Your Coding,Prophet_plain,0.027350286698381323
Canada_Kaggle Store_Using LLMs to Win Friends and Influence People,Prophet_plain,0.02732871443056791
Japan_Kaggle Store_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.027089928627752113
Canada_Kaggle Learn_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.02708393900258172
Canada_Kaggle Store_Using LLMs to Write Better,Prophet_tuned,0.026992267351760434
Japan_Kaggle Store_Using LLMs to Write Better,Prophet_plain,0.02682842478994942
Canada_Kagglazon_Using LLMs to Write Better,Prophet_tuned,0.026804118099740495
Japan_Kaggle Learn_Using LLMs to Win More Kaggle Competitions,Prophet_plain,0.026757518822185397
Canada_Kaggle Store_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.02655821770751615
Japan_Kagglazon_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.026394613009770095
Japan_Kaggle Learn_Using LLMs to Write Better,Prophet_plain,0.026251326587194024
Canada_Kaggle Learn_Using LLMs to Write Better,Prophet_tuned,0.026143532316249194
Japan_Kagglazon_Using LLMs to Write Better,Prophet_tuned,0.025941167606155585
